0,624380
73,418594
43,392117
122,641620
210,044773
108,432440
74,305231
116,299909
343,867332
27,432469
70,740039
6,748301
23,757327
89,520549
9,030601
20,885569
66,465351
2,090901
10,122926
240,838139
0,350903
62,023585
40,825159
41,508978
50,242271
209,552724
78,654390
6,672727
10,425289
1,073364
1,983506
79,146924
58,230702
32,425093
591,382388
7,746841
6,134585
4,718249
34,465040
94,655421
117,140508
20,324517
8,051175
55,610620
51,794716
79,618885
104,883602
6,740427
89,130903
28,836532
54,092539
418,323875
47,299076
27,420519
3,230715
293,455933
16,530740
320,716714
199,802025
110,400910
25,651893
28,964822
1,694545
0,001157
121,391438
144,879683
24,380925
5,191623
44,094557
215,986384
299,829626
42,543701
4,562561
114,382959
70,517170
5,562738
11,391025
29,539639
93,043410
18,098032
0,460817
80,651256
0,232052
1,907267
156,006847
32,316949
102,070394
205,985582
94,328082
9,472022
0,460402
118,391169
2,068666
9,105323
12,420670
2,366545
20,335111
245,218298
46,045763
10,139277
34,040610
